televizia  43, 51, 76, 126, 133, 184, 197, 208, 216, 231, 239, 284, 290, 477, 492
tribunali  39, 57, 100, 104, 119, 131
tulevi  47
tyvarCeli  59
ukleba  46
usufaSvili daviT  240, 346, 347, 348
farnavaz mefe  18, 174, 177, 242
fifia g.  56
fiCxaZe  46
futkaraZe  197
fSavelni  181
fxovelni  165, 181
qanTaria medea  249, 501, 505
qarTlelni  26, 41, 43, 99, 181, 248, 380, 391, 475, 483, 511
qiqoZe geronti  192
quji  6, 14, 18, 43, 77, 78, 89, 107, 164, 177
R
yazbegi  127, 177, 249
yuraSvili gujar  59
S
Samba  101
SamilaZe vaxtang  498, 505
Sanibovi  100
Sartava Jiuli  39, 211, 215, 244
SevardnaZe eduard  6, 18, 19, 36, 37, 38, 40, 45, 47, 48, 54, 57, 58, 59, 101, 106, 107, 116, 117, 118, 119, 142, 171, 183, 184, 186, 187, 188, 189, 197, 199, 203, 211, 212, 216, 221, 223, 224, 225, 237, 239, 240, 242, 247, 250, 353, 356, 357, 382, 402, 408, 461, 464, 467, 486, 490, 491
SevardnaZe ipokrate  203, 204
C
Carkvianebi  46
Carkviani  121
Cemberlenizacia  11
Cerqezia oTar  187
Cibirovi l.  42, 106, 491
CiburdaniZe m.  80
CikvaiZe al.  97, 98, 107
CineTi  50, 79, 80, 344, 378
Cineli  80, 232
Cubaisi  47, 48
CxaiZe  14, 32, 51, 63, 94, 95, 110, 133, 145, 159, 178, 194, 195, 424, 497, 505, 511, 512, 513, 514, 515, 516, 517
CxaiZe g.  14, 32, 51, 63, 94, 95, 110, 133, 145, 159, 424, 497, 505, 511, 512, 513, 514, 515, 516
cxinvalis regioni  6, 9, 41, 42, 57, 93, 128, 168, 237, 299, 351, 354, 391, 392, 400, 404, 407, 408, 421, 422, 423, 456, 457, 458, 459, 460, 468, 472
Z
ZebiSi  17
wereTeli irakli  196
wuTisofeli  162, 173
W
WavWavaZe zurab  196, 424
WanTa  181
Wanturia gia  196
Wanturia tariel  121
WaWia aleqsandre  42, 43, 106
WeiSvili  121
WiTanava nodar  149
Wyonia  46
xabeiSvili suliko  182, 215
xaindrava  213, 249
xaxaleiSvili  81
xevsurni  81, 180, 237
xmalaZe vaxtang  346
javaxebi  41, 99, 101, 102, 168, 181, 193, 194, 513
hamarSeldi dag.  77
hegeli  177, 192
hegemonebi  252
herTa  181
herodote  160
himni  200
